Attribute,QuestionText
Brand Image,How do you perceive our brand?
Brand Image,How do you perceive our brand?
Website Usability,How easy was it to navigate our website?
Return Policy,Are you satisfied with our return policy?
Brand Image,How do you perceive our brand?
Customer Support,How would you rate the politeness of our support team?
Brand Image,Would you recommend our brand to others?
Product Quality,How would you rate the quality of our products?
Product Quality,How would you rate the quality of our products?
Delivery Time,How satisfied are you with the delivery speed?
Delivery Time,How satisfied are you with the delivery speed?
Brand Image,Would you recommend our brand to others?
Return Policy,How easy was the process of returning a product?
Product Quality,Are you satisfied with the durability of the product?
Delivery Time,Was your order delivered on time?
Return Policy,Are you satisfied with our return policy?
Delivery Time,Was your order delivered on time?
Brand Image,Does our brand align with your values?
Product Quality,How would you rate the quality of our products?
Pricing,Would you consider our products affordable?
Website Usability,Were you able to find what you were looking for easily?
Website Usability,How would you rate your overall experience on the website?
Website Usability,Were you able to find what you were looking for easily?
Service Quality,How efficiently were your issues resolved?
Pricing,Is the product priced fairly compared to its value?
Website Usability,Were you able to find what you were looking for easily?
Customer Support,How responsive was our customer support?
Website Usability,How would you rate your overall experience on the website?
Pricing,Would you consider our products affordable?
Website Usability,How would you rate your overall experience on the website?
Customer Support,How would you rate the politeness of our support team?
Brand Image,How do you perceive our brand?
Product Quality,How would you describe the appearance of the product?
Brand Image,Would you recommend our brand to others?
Product Quality,How would you describe the appearance of the product?
Service Quality,How satisfied are you with our service quality?
Website Usability,Were you able to find what you were looking for easily?
Website Usability,How easy was it to navigate our website?
Pricing,Would you consider our products affordable?
Return Policy,Are you satisfied with our return policy?
Pricing,Would you consider our products affordable?
Customer Support,How responsive was our customer support?
Customer Support,How responsive was our customer support?
Service Quality,How efficiently were your issues resolved?
Brand Image,Does our brand align with your values?
Delivery Time,How satisfied are you with the delivery speed?
Product Quality,Are you satisfied with the durability of the product?
Return Policy,How easy was the process of returning a product?
Service Quality,How efficiently were your issues resolved?
Product Quality,Are you satisfied with the durability of the product?
Service Quality,How efficiently were your issues resolved?
Customer Support,How would you rate the politeness of our support team?
Website Usability,How easy was it to navigate our website?
Website Usability,How easy was it to navigate our website?
Customer Support,How responsive was our customer support?
Brand Image,Does our brand align with your values?
Product Quality,Are you satisfied with the durability of the product?
Service Quality,How efficiently were your issues resolved?
Customer Support,How responsive was our customer support?
Return Policy,How easy was the process of returning a product?
Customer Support,How responsive was our customer support?
Service Quality,How satisfied are you with our service quality?
Brand Image,How do you perceive our brand?
Pricing,How do you feel about the pricing of our products?
Delivery Time,Were you informed properly about delivery timelines?
Delivery Time,Was your order delivered on time?
Return Policy,How easy was the process of returning a product?
Delivery Time,Were you informed properly about delivery timelines?
Service Quality,How satisfied are you with our service quality?
Return Policy,How easy was the process of returning a product?
Delivery Time,Were you informed properly about delivery timelines?
Website Usability,How easy was it to navigate our website?
Delivery Time,How satisfied are you with the delivery speed?
Return Policy,How reasonable are the return conditions?
Pricing,Would you consider our products affordable?
Product Quality,How would you describe the appearance of the product?
Delivery Time,Were you informed properly about delivery timelines?
Website Usability,How easy was it to navigate our website?
Service Quality,How efficiently were your issues resolved?
Pricing,Would you consider our products affordable?
Service Quality,How efficiently were your issues resolved?
Product Quality,How would you rate the quality of our products?
Pricing,How do you feel about the pricing of our products?
Service Quality,How satisfied are you with our service quality?
Pricing,Is the product priced fairly compared to its value?
Brand Image,Does our brand align with your values?
Service Quality,How satisfied are you with our service quality?
Return Policy,Are you satisfied with our return policy?
Pricing,Would you consider our products affordable?
Website Usability,How would you rate your overall experience on the website?
Delivery Time,Was your order delivered on time?
Delivery Time,Was your order delivered on time?
Service Quality,How would you describe the helpfulness of our staff?
Return Policy,How reasonable are the return conditions?
Website Usability,Were you able to find what you were looking for easily?
Service Quality,How would you describe the helpfulness of our staff?
Service Quality,How would you describe the helpfulness of our staff?
Website Usability,Were you able to find what you were looking for easily?
Pricing,Is the product priced fairly compared to its value?
Customer Support,How would you rate the politeness of our support team?
Delivery Time,Was your order delivered on time?
Delivery Time,Was your order delivered on time?
Return Policy,How reasonable are the return conditions?
Product Quality,How would you describe the appearance of the product?
Brand Image,Does our brand align with your values?
Website Usability,How would you rate your overall experience on the website?
Brand Image,Would you recommend our brand to others?
Brand Image,Does our brand align with your values?
Website Usability,How easy was it to navigate our website?
Delivery Time,Was your order delivered on time?
Customer Support,How would you rate the politeness of our support team?
Brand Image,How do you perceive our brand?
Delivery Time,Was your order delivered on time?
Pricing,Is the product priced fairly compared to its value?
Brand Image,Would you recommend our brand to others?
Delivery Time,Were you informed properly about delivery timelines?
Brand Image,How do you perceive our brand?
Product Quality,Are you satisfied with the durability of the product?
Product Quality,Are you satisfied with the durability of the product?
Return Policy,How reasonable are the return conditions?
Delivery Time,Was your order delivered on time?
Service Quality,How satisfied are you with our service quality?
Pricing,Is the product priced fairly compared to its value?
Service Quality,How efficiently were your issues resolved?
Website Usability,Were you able to find what you were looking for easily?
Product Quality,How would you rate the quality of our products?
Delivery Time,How satisfied are you with the delivery speed?
Delivery Time,Were you informed properly about delivery timelines?
Service Quality,How would you describe the helpfulness of our staff?
Brand Image,Would you recommend our brand to others?
Service Quality,How satisfied are you with our service quality?
Website Usability,Were you able to find what you were looking for easily?
Delivery Time,Was your order delivered on time?
Return Policy,How reasonable are the return conditions?
Brand Image,Does our brand align with your values?
Delivery Time,Was your order delivered on time?
Return Policy,How reasonable are the return conditions?
Customer Support,Were your concerns addressed promptly by support?
Website Usability,How would you rate your overall experience on the website?
Service Quality,How would you describe the helpfulness of our staff?
Pricing,Is the product priced fairly compared to its value?
Product Quality,How would you rate the quality of our products?
Customer Support,How responsive was our customer support?
Pricing,Would you consider our products affordable?
Customer Support,How responsive was our customer support?
Product Quality,How would you rate the quality of our products?
Website Usability,How would you rate your overall experience on the website?
Customer Support,How would you rate the politeness of our support team?
Pricing,Is the product priced fairly compared to its value?
Delivery Time,How satisfied are you with the delivery speed?
Website Usability,Were you able to find what you were looking for easily?
Service Quality,How efficiently were your issues resolved?
Return Policy,Are you satisfied with our return policy?
Return Policy,How easy was the process of returning a product?
Pricing,Would you consider our products affordable?
Product Quality,Are you satisfied with the durability of the product?
Return Policy,Are you satisfied with our return policy?
Product Quality,How would you rate the quality of our products?
Delivery Time,Was your order delivered on time?
Delivery Time,Were you informed properly about delivery timelines?
Brand Image,Would you recommend our brand to others?
Product Quality,Are you satisfied with the durability of the product?
Service Quality,How efficiently were your issues resolved?
Pricing,How do you feel about the pricing of our products?
Brand Image,Would you recommend our brand to others?
Product Quality,How would you describe the appearance of the product?
Product Quality,Are you satisfied with the durability of the product?
Product Quality,How would you describe the appearance of the product?
Website Usability,How easy was it to navigate our website?
Return Policy,How reasonable are the return conditions?
Brand Image,Does our brand align with your values?
Product Quality,How would you rate the quality of our products?
Pricing,How do you feel about the pricing of our products?
Pricing,Is the product priced fairly compared to its value?
Brand Image,Would you recommend our brand to others?
Customer Support,Were your concerns addressed promptly by support?
Brand Image,Would you recommend our brand to others?
Pricing,Would you consider our products affordable?
Return Policy,How easy was the process of returning a product?
Product Quality,How would you rate the quality of our products?
Brand Image,Does our brand align with your values?
Service Quality,How satisfied are you with our service quality?
Delivery Time,Was your order delivered on time?
Delivery Time,How satisfied are you with the delivery speed?
Return Policy,Are you satisfied with our return policy?
Customer Support,Were your concerns addressed promptly by support?
Service Quality,How efficiently were your issues resolved?
Product Quality,Are you satisfied with the durability of the product?
Return Policy,Are you satisfied with our return policy?
Product Quality,How would you rate the quality of our products?
Return Policy,How easy was the process of returning a product?
Return Policy,How easy was the process of returning a product?
Pricing,How do you feel about the pricing of our products?
Pricing,How do you feel about the pricing of our products?
Delivery Time,Were you informed properly about delivery timelines?
Brand Image,Does our brand align with your values?
Service Quality,How efficiently were your issues resolved?
Customer Support,How responsive was our customer support?
Return Policy,How easy was the process of returning a product?
Delivery Time,Were you informed properly about delivery timelines?
